Time,CURRENT,mA
109650,CURRENT,5,4
109654,CURRENT,4,4
109656,CURRENT,4,4
109659,CURRENT,5,4
109661,CURRENT,5,4
109664,CURRENT,3,4
109666,CURRENT,4,4
109669,CURRENT,5,4
109671,CURRENT,4,4
109674,CURRENT,3,4
109676,CURRENT,4,4
109679,CURRENT,5,4
109681,CURRENT,4,4
109684,CURRENT,3,4
109686,CURRENT,4,4
109688,CURRENT,5,4
109691,CURRENT,4,4
109693,CURRENT,3,4
109697,CURRENT,4,4
109699,CURRENT,4,4
109702,CURRENT,4,4
109704,CURRENT,4,4
109707,CURRENT,5,4
109709,CURRENT,5,4
109712,CURRENT,4,4
109714,CURRENT,4,4
109717,CURRENT,6,4
109719,CURRENT,5,4
